id,sex,age,After-school hours,Other study hours,Review time,Reading time,Social time,Homework score,Number of class participation,Attendance rate,Mental health status,Course difficulty rating,Final score
64,男,23,5.5,2.2,3.3,1.5,1.5,93,3,0.98,1,2,90
65,男,22,2.3,1.6,0.7,1.9,1.9,93,2,0.99,1,2,76
66,女,23,4,3.1,0.9,1.3,1.3,93,1,0.97,1,1,90
67,女,23,2.6,2.4,0.2,1.8,1.8,92,1,0.99,1,3,70
68,男,21,1.2,0.8,0.4,1.1,1.1,93,0,0.97,1,2,60
69,女,23,2.2,2.2,0,1.8,1.8,94,2,0.97,1,3,75
70,女,22,4.2,3.8,0.4,2,2,92,1,0.99,1,4,90
71,女,23,2.8,1.6,1.2,1.3,1.3,95,2,0.99,1,4,75
72,女,23,2.9,2.2,0.7,1.6,1.6,93,2,0.95,1,4,76
73,男,22,2.2,1.5,0.7,1.5,1.5,95,1,0.96,1,4,78
74,女,21,4.1,3.2,0.9,1.3,1.3,93,3,0.97,1,2,86
75,男,21,1.9,1.6,0.3,1.1,1.1,92,3,0.95,1,3,74
76,女,22,1.8,1.5,0.3,1.3,1.3,94,4,0.98,1,2,72
77,女,23,2.6,1.9,0.7,1.1,1.1,94,2,0.99,1,3,71
78,女,23,2.1,1.6,0.5,1,1,93,3,0.94,1,2,75
79,男,21,2.8,2.4,0.4,1.4,1.4,94,2,0.99,1,3,72
80,女,22,2.7,1.8,0.9,1.8,1.8,93,1,0.98,1,3,77
81,男,22,1.3,0.8,0.5,0.2,1.4,87,1,0.85,1,3,55
82,女,21,1.5,0.1,1.4,0.9,2.8,86,2,0.82,1,5,66
83,男,21,4.4,3.5,0.9,0.1,1.2,83,1,0.82,1,3,80
84,女,22,0.3,0.3,0,0.1,1.3,88,0,0.85,1,4,47
85,男,23,1.2,0.7,0.5,0,1.1,85,1,0.86,1,5,60
86,男,22,4.3,3.5,0.8,0.6,2.1,94,3,0.97,1,5,85
87,女,22,2.8,0.6,2.2,0.2,1.5,94,1,0.96,1,4,76
88,男,22,6,0.5,5.5,0.9,2.9,92,2,0.98,1,5,93
89,女,22,0.8,0.5,0.3,1.1,3.1,92,3,0.96,1,2,58
90,女,23,5,4.5,0.5,0.8,2.7,95,4,0.99,1,4,95
91,女,23,3.9,2.9,1,0.5,2,94,2,0.99,1,5,75
92,女,22,1.1,0.4,0.7,1,3.1,95,3,0.98,1,4,63
93,女,22,0.1,0.1,0,1,2.9,94,2,0.98,1,5,39
94,女,22,1.2,0.8,0.4,0.5,2.1,94,2,0.97,1,5,68
95,女,22,1.9,0.8,1.1,0.4,1.8,94,3,0.97,1,4,70
96,女,21,0.3,0.2,0.1,0.5,2,78,1,0.74,1,5,54
97,女,22,4.5,3.1,1.4,0.4,1.8,76,1,0.86,1,5,79
98,女,22,6.1,5.1,1,0.7,2.4,85,1,0.99,1,4,86
99,女,21,0.3,0.3,0,1,2.9,81,0,0.96,1,4,51
100,男,22,5.5,4.1,1.4,0.4,1.7,83,0,0.97,1,5,93
