id,sex,age,After-school hours,Other study hours,Review time,Reading time,Social time,Homework score,Number of class participation,Attendance rate,Mental health status,Course difficulty rating,Test score
57,女,22,1.4,1,0.4,1.4,1.4,89,2,0.87,1,3,78
58,男,23,2,1.6,0.4,2,2,88,1,0.87,1,4,81
59,男,21,1.5,0.5,1,0.5,0.5,86,3,0.89,1,2,79
60,男,21,2.1,1.5,0.6,1,1,87,3,0.86,1,3,73
61,男,22,2.9,2.7,0.2,1.5,1.5,88,1,0.87,1,4,73
62,男,21,2.3,1,1.3,1.5,1.5,86,1,0.89,1,1,77
63,男,23,1.2,0.7,0.5,1.3,1.3,88,2,0.89,1,4,77
64,男,23,1.5,1,0.5,0.5,0.5,93,2,0.97,1,4,83
65,男,22,2.8,2.4,0.4,1.9,1.9,93,1,0.96,1,4,71
66,女,23,1.8,1.2,0.6,1.5,1.5,94,2,0.99,1,5,72
67,女,23,1.4,1,0.4,1.7,1.7,94,3,0.98,1,4,72
68,男,21,2.2,1.9,0.3,0.9,0.9,92,4,0.94,1,4,76
69,女,23,2.9,2.7,0.2,0.6,0.6,93,3,0.93,1,3,71
70,女,22,2.4,2.3,0.1,2.1,2.1,94,3,0.98,1,2,78
71,女,23,1,0.3,0.7,1.5,1.5,93,1,0.95,1,2,72
72,女,23,1,0.6,0.4,1.6,1.6,92,2,0.98,1,3,79
73,男,22,2.6,2.3,0.3,1,1,95,1,0.97,1,3,79
74,女,21,2.3,2,0.3,1.9,1.9,95,2,0.99,1,2,76
75,男,21,2,1.8,0.2,1.8,1.8,94,1,0.97,1,3,73
76,女,22,1.6,0.8,0.8,1,1,93,4,0.96,1,3,72
77,女,23,2.9,2.8,0.1,1.9,1.9,93,2,0.97,1,2,76
78,女,23,2.8,1.9,0.9,0.9,0.9,94,3,0.95,1,4,76
79,男,21,1.7,1.2,0.5,1.9,1.9,94,2,0.98,1,4,70
80,女,22,1.7,1.7,0,0.9,0.9,95,3,0.98,1,3,72
81,男,22,1,0.5,0.5,0.8,2.7,84,3,0.85,1,5,67
82,女,21,1.4,1.1,0.3,0.6,2.2,89,2,0.85,1,3,60
83,男,21,1.3,0.8,0.5,0.5,2,83,2,0.84,1,5,61
84,女,22,1.4,0.7,0.7,0.6,2.2,87,4,0.87,1,5,65
85,男,23,1.3,1.1,0.2,0.3,1.7,84,3,0.84,1,4,64
86,男,22,0.5,0.4,0.1,0.3,1.1,76,0,0.79,0,5,52
87,女,22,0.1,0,0.1,0.7,2.4,91,3,0.98,1,4,65
88,男,22,0.4,0.1,0.3,0.6,2.1,94,3,0.99,1,3,67
89,女,22,0.5,0.3,0.2,1,3.1,93,2,0.96,1,1,65
90,女,23,0.3,0.2,0.1,1,2.9,95,4,0.95,1,4,68
91,女,23,0.6,0.3,0.3,0.9,2.8,94,2,0.96,1,3,66
92,女,22,1.4,0.9,0.5,1,3.1,94,1,0.98,1,3,57
93,女,22,0.6,0.6,0,0.1,1.2,92,3,0.99,1,5,63
94,女,22,0.9,0.7,0.2,0.1,1.1,94,2,0.98,1,4,65
95,女,22,0.8,0.6,0.2,1,2.9,94,1,0.99,1,5,65
96,女,21,0.5,0.4,0.1,0.3,1.7,79,0,0.79,1,4,52
97,女,22,0.1,0.1,0,0.5,2.1,78,0,0.83,1,4,60
98,女,22,0.4,0.3,0.1,0.4,1.7,83,0,0.99,1,4,51
99,女,21,0.3,0.2,0.1,0.1,1.2,83,1,0.97,1,5,54
100,男,22,0.4,0.3,0.1,0.9,2.8,84,0,0.94,1,5,55
